epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5700.04,0.90523,1.7178,0.95112,0.94439,0.55657,0.596,0.56497,0.49175,0.54239,0.5944,0.56776,0.50464,1.5504,1.92832,1.39374,1.04651,0.0097228,0.0097228,0.0097228
30,5893.49,0.89643,1.67793,0.93999,0.93614,0.60248,0.56861,0.56413,0.49958,0.55556,0.56931,0.56247,0.50221,1.51018,1.89968,1.37349,1.03051,0.0097129,0.0097129,0.0097129
31,6086.64,0.88704,1.66612,0.93275,0.93764,0.57161,0.58878,0.56791,0.49198,0.5479,0.5844,0.56393,0.50091,1.50675,1.93487,1.37033,1.04134,0.009703,0.009703,0.009703
32,6280.4,0.90574,1.70858,0.94471,0.94013,0.57422,0.58573,0.57179,0.49658,0.55286,0.58391,0.56569,0.5016,1.54804,1.9063,1.34014,1.055,0.0096931,0.0096931,0.0096931
33,6472.74,0.89341,1.70863,0.91296,0.93795,0.59682,0.58129,0.57464,0.49955,0.57469,0.56963,0.5704,0.50698,1.50957,1.91048,1.30721,1.04717,0.0096832,0.0096832,0.0096832
34,6665.63,0.90507,1.71603,0.92842,0.94534,0.55941,0.60019,0.57711,0.49935,0.53198,0.60386,0.56507,0.50475,1.5078,1.89852,1.29886,1.02656,0.0096733,0.0096733,0.0096733
35,6859.45,0.89389,1.67196,0.90248,0.9371,0.55694,0.60728,0.57445,0.49915,0.53799,0.60324,0.56565,0.50284,1.49686,1.91489,1.33494,1.03299,0.0096634,0.0096634,0.0096634
36,7052.87,0.87749,1.66301,0.89585,0.93199,0.57051,0.59675,0.56536,0.48902,0.57029,0.58347,0.56072,0.49666,1.49354,1.93845,1.34349,1.03328,0.0096535,0.0096535,0.0096535
37,7248.75,0.88696,1.67275,0.92355,0.93364,0.54715,0.60565,0.57032,0.49606,0.53091,0.60673,0.57286,0.50429,1.51952,1.93718,1.32727,1.04601,0.0096436,0.0096436,0.0096436
38,7444.96,0.86428,1.61561,0.8863,0.92786,0.5421,0.58427,0.57121,0.49719,0.49927,0.58257,0.56229,0.50038,1.50305,1.91369,1.35934,1.03799,0.0096337,0.0096337,0.0096337
39,7639.24,0.86763,1.65455,0.88632,0.9322,0.62228,0.58042,0.58153,0.50693,0.62427,0.56447,0.56811,0.5064,1.46746,1.90222,1.32493,1.02501,0.0096238,0.0096238,0.0096238
40,7834.13,0.8444,1.61048,0.87144,0.92714,0.58977,0.6019,0.58456,0.5044,0.57082,0.59678,0.57661,0.50624,1.47629,1.89964,1.31604,1.03153,0.0096139,0.0096139,0.0096139
41,8028,0.85725,1.63408,0.88909,0.92469,0.58365,0.59655,0.56823,0.49515,0.56281,0.59397,0.56535,0.49914,1.50248,1.91481,1.35219,1.0377,0.009604,0.009604,0.009604
42,8226.11,0.87437,1.64858,0.89614,0.93,0.58886,0.60878,0.57902,0.50483,0.56481,0.61074,0.56868,0.50563,1.48019,1.88651,1.29783,1.01341,0.0095941,0.0095941,0.0095941
