epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,24465.4,0.81325,1.51302,0.75137,0.9133,0.65772,0.62697,0.61782,0.5278,0.61505,0.61724,0.60564,0.52545,1.39725,1.826,1.12569,1.00331,0.0087724,0.0087724,0.0087724
126,24664.4,0.82478,1.54525,0.77045,0.91574,0.63329,0.63618,0.61213,0.52602,0.61502,0.6264,0.60337,0.5233,1.39855,1.83886,1.13813,1.00727,0.0087625,0.0087625,0.0087625
127,24864.1,0.81151,1.51429,0.76688,0.91619,0.64175,0.62815,0.61549,0.52533,0.61072,0.6181,0.60513,0.52368,1.3903,1.8339,1.13654,1.00652,0.0087526,0.0087526,0.0087526
128,25065.2,0.79995,1.53414,0.7643,0.91375,0.64295,0.6292,0.6132,0.5272,0.61304,0.62061,0.60158,0.52252,1.38714,1.82574,1.13564,1.00406,0.0087427,0.0087427,0.0087427
129,25264,0.80376,1.51459,0.74958,0.91458,0.66333,0.62651,0.6148,0.5275,0.6056,0.62618,0.6066,0.52405,1.37799,1.83996,1.12657,1.00057,0.0087328,0.0087328,0.0087328
130,25459.3,0.79198,1.49827,0.73458,0.90918,0.65538,0.6243,0.61359,0.52666,0.64112,0.60871,0.60554,0.52448,1.37656,1.8491,1.12256,0.99716,0.0087229,0.0087229,0.0087229
131,25651.4,0.80709,1.48901,0.75317,0.91163,0.65685,0.63031,0.61694,0.52752,0.61181,0.61654,0.60128,0.52255,1.37907,1.83929,1.12698,0.99897,0.008713,0.008713,0.008713
132,25843.8,0.81441,1.51968,0.76951,0.91693,0.66481,0.62722,0.6189,0.52794,0.62247,0.62182,0.60416,0.52286,1.36431,1.83494,1.13033,1.00135,0.0087031,0.0087031,0.0087031
133,26040.7,0.81927,1.51729,0.75089,0.91151,0.66708,0.61979,0.61632,0.52887,0.62272,0.62165,0.60964,0.52472,1.36771,1.82757,1.13229,1.00215,0.0086932,0.0086932,0.0086932
134,26235.4,0.82564,1.54242,0.75244,0.91198,0.65109,0.62595,0.61451,0.52748,0.62107,0.61872,0.60711,0.52607,1.37086,1.82856,1.13704,1.00742,0.0086833,0.0086833,0.0086833
135,26428,0.79433,1.47541,0.75057,0.90759,0.66026,0.62252,0.61427,0.52648,0.62443,0.62235,0.60775,0.52501,1.36373,1.82968,1.1333,1.00162,0.0086734,0.0086734,0.0086734
136,26623.9,0.79218,1.47275,0.73245,0.90771,0.65595,0.62184,0.61344,0.52639,0.62425,0.62271,0.60839,0.52549,1.36656,1.82543,1.13215,0.99942,0.0086635,0.0086635,0.0086635
137,26819.1,0.82514,1.51431,0.75871,0.90923,0.66902,0.62847,0.62043,0.52833,0.62564,0.624,0.60891,0.52576,1.36776,1.82893,1.12158,0.99933,0.0086536,0.0086536,0.0086536
138,27012.6,0.80299,1.48814,0.74832,0.91138,0.6604,0.63625,0.62108,0.52837,0.62678,0.62777,0.61308,0.52715,1.37599,1.82725,1.12712,1.00171,0.0086437,0.0086437,0.0086437
139,27207.9,0.80988,1.50042,0.73752,0.9112,0.66108,0.63732,0.62343,0.52729,0.61956,0.63349,0.61121,0.52657,1.37327,1.82504,1.11962,1.00142,0.0086338,0.0086338,0.0086338
140,27400.9,0.80417,1.48766,0.73406,0.90768,0.64479,0.63627,0.62026,0.52743,0.61957,0.63233,0.61015,0.52566,1.38425,1.81815,1.11813,1.00333,0.0086239,0.0086239,0.0086239
141,27594.3,0.7912,1.4639,0.72593,0.90215,0.65109,0.64144,0.62275,0.52831,0.62562,0.63461,0.61197,0.52611,1.38056,1.81704,1.11696,0.99962,0.008614,0.008614,0.008614
142,27787.4,0.81378,1.49535,0.74253,0.91484,0.65363,0.6371,0.62054,0.52764,0.6159,0.63503,0.61188,0.52613,1.3753,1.82444,1.1151,0.99924,0.0086041,0.0086041,0.0086041
143,27981.3,0.79299,1.46306,0.71838,0.9057,0.65379,0.64054,0.6208,0.5283,0.62239,0.62976,0.61305,0.52617,1.37762,1.82904,1.11754,0.99792,0.0085942,0.0085942,0.0085942
144,28179.8,0.82996,1.52913,0.7665,0.9133,0.65122,0.64009,0.62015,0.5278,0.61113,0.63693,0.60918,0.52573,1.3798,1.82617,1.11118,0.99898,0.0085843,0.0085843,0.0085843
145,28375.5,0.81042,1.49963,0.74865,0.90596,0.65439,0.63846,0.61926,0.52721,0.61811,0.62643,0.60631,0.52338,1.37722,1.82405,1.10601,0.99762,0.0085744,0.0085744,0.0085744
146,28571.4,0.8004,1.48423,0.73082,0.91056,0.65778,0.64082,0.62028,0.52795,0.61773,0.63018,0.6107,0.5245,1.37481,1.82712,1.11298,0.99532,0.0085645,0.0085645,0.0085645
147,28766.4,0.79577,1.4856,0.73212,0.9079,0.64573,0.6405,0.61996,0.52749,0.60331,0.63786,0.60674,0.52295,1.37376,1.82605,1.11884,0.99679,0.0085546,0.0085546,0.0085546
148,28964.5,0.78461,1.46667,0.71808,0.90264,0.6594,0.63918,0.62165,0.52825,0.61545,0.63176,0.60799,0.52365,1.3718,1.82261,1.10825,0.99648,0.0085447,0.0085447,0.0085447
149,29166.6,0.80194,1.49326,0.74325,0.90606,0.63754,0.63986,0.61982,0.52909,0.61219,0.64007,0.61054,0.52619,1.37328,1.81839,1.10367,0.99758,0.0085348,0.0085348,0.0085348
150,29366,0.79939,1.49715,0.72695,0.91107,0.64926,0.63979,0.6224,0.52955,0.6165,0.63588,0.61053,0.52624,1.37781,1.82445,1.10379,0.99911,0.0085249,0.0085249,0.0085249
151,29564.9,0.80586,1.47233,0.73045,0.90719,0.66049,0.63767,0.62256,0.52906,0.61309,0.63365,0.61163,0.52625,1.37939,1.82599,1.10214,1.00127,0.008515,0.008515,0.008515
152,29767.6,0.78482,1.45575,0.72089,0.9059,0.67802,0.62969,0.62184,0.52895,0.63594,0.62834,0.61114,0.52657,1.37882,1.83178,1.11199,1.00241,0.0085051,0.0085051,0.0085051
153,29966.7,0.80548,1.48166,0.73269,0.90894,0.67357,0.63452,0.62402,0.52886,0.62003,0.63034,0.60921,0.52693,1.37487,1.83728,1.10952,1.00139,0.0084952,0.0084952,0.0084952
154,30166.3,0.78975,1.46596,0.74219,0.90991,0.67853,0.63733,0.62355,0.52942,0.62248,0.62698,0.60625,0.52577,1.37568,1.84038,1.11051,1.00071,0.0084853,0.0084853,0.0084853
155,30366.9,0.80009,1.51117,0.73585,0.90828,0.6671,0.63608,0.62305,0.52916,0.63064,0.6275,0.60882,0.52563,1.381,1.84368,1.10782,1.00431,0.0084754,0.0084754,0.0084754
156,30565.9,0.81056,1.48577,0.74902,0.91299,0.6639,0.64135,0.62262,0.52878,0.62,0.63063,0.60851,0.52461,1.38506,1.84463,1.11411,1.00521,0.0084655,0.0084655,0.0084655
157,30759.9,0.79592,1.46757,0.72128,0.90532,0.66599,0.64099,0.62551,0.53017,0.616,0.63129,0.61081,0.52583,1.3851,1.84988,1.11581,1.00641,0.0084556,0.0084556,0.0084556
158,30955.2,0.80482,1.4617,0.73149,0.91048,0.65632,0.63582,0.62444,0.52988,0.62273,0.62903,0.6091,0.52474,1.37852,1.85124,1.10795,1.00483,0.0084457,0.0084457,0.0084457
159,31149.5,0.80941,1.49196,0.73136,0.90752,0.66407,0.63527,0.62457,0.53026,0.62833,0.62132,0.60846,0.52552,1.37706,1.84759,1.11334,1.0028,0.0084358,0.0084358,0.0084358
160,31343.3,0.79042,1.44326,0.71123,0.91023,0.66795,0.63182,0.62301,0.52982,0.62137,0.62724,0.60776,0.52497,1.37731,1.84475,1.11002,1.00155,0.0084259,0.0084259,0.0084259
161,31537.8,0.80518,1.47635,0.73277,0.91028,0.6672,0.63839,0.625,0.53026,0.6306,0.62172,0.61172,0.52621,1.38167,1.84331,1.10621,1.00273,0.008416,0.008416,0.008416
162,31731.2,0.78535,1.46686,0.71465,0.90754,0.65382,0.63437,0.62358,0.53047,0.62709,0.62538,0.61277,0.52698,1.38502,1.84445,1.10703,1.00489,0.0084061,0.0084061,0.0084061
163,31926.4,0.82283,1.46577,0.73102,0.90997,0.65641,0.63461,0.625,0.53062,0.62423,0.62181,0.60982,0.5263,1.38926,1.84803,1.1067,1.00521,0.0083962,0.0083962,0.0083962
164,32120.7,0.7988,1.45158,0.71548,0.9103,0.65286,0.63807,0.62434,0.53008,0.62978,0.62497,0.60912,0.52659,1.38815,1.84713,1.10732,1.00614,0.0083863,0.0083863,0.0083863
165,32314.1,0.78879,1.47781,0.72133,0.90814,0.65327,0.64114,0.62251,0.53075,0.62774,0.62923,0.60958,0.5264,1.3829,1.84831,1.10277,1.00547,0.0083764,0.0083764,0.0083764
166,32505.9,0.78262,1.44715,0.72308,0.90498,0.65291,0.63261,0.62389,0.53128,0.62855,0.62726,0.61055,0.52617,1.37973,1.84964,1.10223,1.00615,0.0083665,0.0083665,0.0083665
167,32697.2,0.78459,1.44017,0.70144,0.90232,0.6544,0.63194,0.62462,0.53118,0.62731,0.62676,0.61101,0.52682,1.3816,1.85165,1.10762,1.00589,0.0083566,0.0083566,0.0083566
168,32891.5,0.79707,1.44523,0.71129,0.90435,0.65846,0.63506,0.62685,0.53064,0.61206,0.63694,0.60952,0.52531,1.37998,1.85138,1.10986,1.00602,0.0083467,0.0083467,0.0083467
169,33084,0.77831,1.43173,0.70036,0.89948,0.65053,0.64085,0.62715,0.53201,0.61712,0.63587,0.61223,0.52618,1.37865,1.84993,1.11136,1.00489,0.0083368,0.0083368,0.0083368
170,33278,0.79841,1.45436,0.72255,0.90622,0.64714,0.6405,0.62693,0.53212,0.62863,0.62889,0.61363,0.52658,1.37865,1.84684,1.11088,1.00452,0.0083269,0.0083269,0.0083269
171,33471.7,0.80226,1.46184,0.71327,0.9036,0.64742,0.63833,0.62464,0.53105,0.62756,0.63041,0.61198,0.52626,1.37732,1.84811,1.11075,1.00418,0.008317,0.008317,0.008317
172,33665.4,0.8176,1.51097,0.73559,0.90925,0.65257,0.63873,0.6247,0.53169,0.61488,0.63967,0.61164,0.52672,1.37565,1.84641,1.10453,1.00164,0.0083071,0.0083071,0.0083071
173,33858.6,0.79384,1.46034,0.70437,0.90585,0.63754,0.64793,0.62611,0.53116,0.6098,0.64092,0.61143,0.52621,1.3778,1.84198,1.10507,1.0036,0.0082972,0.0082972,0.0082972
174,34052.1,0.77221,1.40428,0.69958,0.90302,0.63854,0.64465,0.62428,0.53162,0.61339,0.63864,0.61414,0.52717,1.37618,1.84143,1.10657,1.00322,0.0082873,0.0082873,0.0082873
175,34245.7,0.76711,1.40356,0.69612,0.90043,0.64384,0.6425,0.62557,0.53227,0.62943,0.62552,0.61514,0.527,1.37502,1.84331,1.10249,1.00355,0.0082774,0.0082774,0.0082774
176,34440.9,0.7912,1.46179,0.7081,0.906,0.64669,0.63624,0.62553,0.5325,0.61138,0.64226,0.6153,0.52725,1.37314,1.84096,1.10279,1.00201,0.0082675,0.0082675,0.0082675
177,34635.7,0.78642,1.45679,0.7071,0.90334,0.66145,0.63513,0.62542,0.53122,0.61164,0.64083,0.6159,0.52711,1.37328,1.83896,1.10437,1.00158,0.0082576,0.0082576,0.0082576
178,34829.7,0.7949,1.43615,0.70111,0.90373,0.64243,0.64349,0.62529,0.53136,0.61263,0.64054,0.6149,0.52713,1.37137,1.84061,1.10426,1.00173,0.0082477,0.0082477,0.0082477
179,35023.4,0.80761,1.4865,0.71932,0.90693,0.64428,0.64244,0.62507,0.53112,0.6139,0.63549,0.61368,0.52747,1.37261,1.84049,1.10355,1.00169,0.0082378,0.0082378,0.0082378
180,35216.2,0.78795,1.42397,0.71279,0.90068,0.64244,0.64323,0.62497,0.53028,0.6132,0.63894,0.6138,0.52753,1.37486,1.84087,1.10258,1.00285,0.0082279,0.0082279,0.0082279
181,35410.4,0.78568,1.44222,0.70123,0.89933,0.64483,0.64549,0.62588,0.53049,0.61858,0.63733,0.61424,0.52679,1.37652,1.84019,1.10556,1.00344,0.008218,0.008218,0.008218
182,35604,0.79766,1.44056,0.71215,0.90372,0.64241,0.64241,0.62468,0.52989,0.61517,0.63739,0.61399,0.52724,1.37738,1.84115,1.10836,1.00432,0.0082081,0.0082081,0.0082081
183,35796.6,0.7892,1.43388,0.71852,0.90323,0.65927,0.63731,0.62567,0.5301,0.62033,0.6318,0.61399,0.52709,1.38019,1.84032,1.10958,1.0077,0.0081982,0.0081982,0.0081982
184,35989.2,0.79387,1.45956,0.71282,0.89973,0.6604,0.63532,0.62601,0.53075,0.61593,0.63592,0.6135,0.5266,1.38093,1.84183,1.10699,1.00892,0.0081883,0.0081883,0.0081883
185,36182.1,0.79714,1.45201,0.70606,0.90393,0.66046,0.63589,0.6243,0.52972,0.6219,0.63641,0.61602,0.52671,1.38222,1.84281,1.1053,1.00965,0.0081784,0.0081784,0.0081784
186,36372.8,0.79123,1.45593,0.709,0.90008,0.66993,0.63446,0.62454,0.52949,0.62369,0.63509,0.6154,0.52645,1.38044,1.84384,1.10215,1.00874,0.0081685,0.0081685,0.0081685
187,36562.9,0.77413,1.40939,0.7017,0.89758,0.66914,0.63578,0.62469,0.52895,0.64565,0.62267,0.61656,0.52642,1.37721,1.84609,1.09863,1.00739,0.0081586,0.0081586,0.0081586
188,36752,0.79316,1.43435,0.69987,0.90936,0.67295,0.63501,0.62508,0.52888,0.64749,0.62098,0.61517,0.5263,1.37721,1.84467,1.09938,1.00804,0.0081487,0.0081487,0.0081487
189,36940.9,0.79291,1.43655,0.71299,0.90418,0.67093,0.63275,0.62403,0.52883,0.63938,0.62373,0.61455,0.52554,1.37766,1.84417,1.10172,1.00889,0.0081388,0.0081388,0.0081388
190,37131.8,0.79067,1.4131,0.69685,0.90378,0.67049,0.63312,0.625,0.52874,0.63946,0.62364,0.61532,0.52604,1.38027,1.84499,1.0985,1.00918,0.0081289,0.0081289,0.0081289
191,37324.1,0.79396,1.47086,0.71041,0.9016,0.65823,0.63832,0.62284,0.52837,0.63779,0.62783,0.61408,0.52575,1.37958,1.84294,1.09782,1.00921,0.008119,0.008119,0.008119
